位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
乌鲁木齐,山创网络科技有限公司,互联网,本科,3-5年,6-10K,Java|Spring|MySQL|后端开发,后端
北京·海淀区·上地,北京站联,互联网,本科,3-5年,18-20K,Java|Spring|SpringCloud|MyBatis|MySQL|Redis,后端
东莞·大朗镇·松山湖,华为松山湖,计算机软件,本科,经验不限,15-30K,Java|Python,后端
梧州·长洲区·市政府,泓翎科研,计算机软件,本科,1-3年,3-7K,PHP|golang,后端
苏州·苏州工业园区·独墅湖,非梵空间,电子商务,本科,5-10年,20-30K·13薪,Java开发经验|Java|中大型项目架构设计经验|MyBatis|后端工程师|Spring|计算机/软件工程相关经验,后端
湛江·赤坎区·金沙湾,雷情汇,O2O,本科,1年以内,15-16K,,后端
徐州·铜山区·铜山万达广场,数智蓝赢,移动互联网,学历不限,5-10年,9-13K,Java|Java开发经验,后端
广州·海珠区·赤岗,凡步设计,移动互联网,学历不限,5-10年,15-25K,后端开发|Java|音频处理,后端开发
上海·黄浦区·五里桥,经纬物联,计算机服务,大专,经验不限,6-8K·13薪,后端开发,后端开发
深圳·南山区·科技园,字节跳动,广告营销,本科,经验不限,25-50K,后端开发|软件工程师|企业级应用开发|服务器端开发|WEB开发|游戏开发|微服务架构,后端开发
武汉·江汉区·常青,艾瑞数智,互联网,本科,3-5年,8-9K·13薪,Java|SpringCloud|MyBatis|MySQL,后端开发
杭州·临平区·临平,承恩科技,智能硬件,学历不限,1-3年,10-15K,Python|分布式技术|MVC开发|数据结构|后端开发|Linux|Unix|GIT,后端开发
广州·番禺区·长隆,乐奢购,电子商务,本科,3-5年,15-25K,Java|Python|Spring|后端开发|Linux|SpringMVC|MySQL|Redis,后端开发
湛江,宽泉文化传播,广告/公关/会展,大专,在校/应届,3-7K,JavaScript|PHP|TypeScript|后端开发|Node.js,后端开发
成都·郫都区·高新西,华为成都研究所,通信/网络设备,本科,经验不限,18-28K·15薪,Java|接受无前端经验/技能|MyBatis|Redis|Spring|Python,后端开发
广州·天河区·棠下,铁骑网络,游戏,本科,3-5年,18-35K,后端开发|游戏|MMO|java|性能|并发|优化|架构,后端主程
汕头·龙湖区·外砂,三尺科技,企业服务,大专,1-3年,5-8K,Java|C#|Spring|MySQL|SQL Server|不接受居家办公|ERP开发经验,后端开发
北京·朝阳区·立水桥,北京雷石,互联网,本科,3-5年,15-20K·14薪,Python|Go,后端开发
南京·鼓楼区·南大,森茂检测,其他生活服务,本科,3-5年,11-16K,SQL|多线程|MVC开发|消息队列|Spring|MySQL,后端JAVA
太原·万柏林区·长风西街,泛微网络,计算机软件,大专,1-3年,5-10K,后端工程师|全栈工程师|Java|Java开发经验|Java|SpringCloud|JVM|Spring|MySQL|Oracle|不接受居家办公,后端开发
杭州·余杭区·闲林,铭创,电子商务,本科,5-10年,60-90K·16薪,SQL|分布式技术|Spring|Dubbo|Redis|MySQL|架构师|微服务架构,后端开发
深圳·南山区·海上世界,纽海智能科技,企业服务,本科,3-5年,20-25K,后端工程师|Java|Java开发经验,后端开发
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,3-5年,30-55K·16薪,Java|Golang|Spring|MySQL|大数据经验|分布式经验,后端开发
清远·清城区·义乌商贸城,白鲸科技,互联网,本科,5-10年,10-14K,Java开发经验|Java|MySQL|后端工程师,后端开发
青岛·崂山区·大拇指广场,海尔财务公司,银行,本科,3-5年,16-30K,MVC开发|后端开发,后端开发
杭州·西湖区·古荡,蚂蚁数智,企业服务,本科,3-5年,10-15K,后端工程师|全栈工程师|Java|Spring,后端开发
上海·闵行区·浦江,元孖,互联网,本科,3-5年,20-40K,Python|后端开发经验|大数据处理开发经验,后端开发
丽水·莲都区·天宁,深海文旅,互联网,本科,1-3年,4-8K·13薪,服务器配置|分布式技术|后端开发|WEB开发|Linux|HTML|SQL|CSS,后端开发
广州·番禺区·市桥,瑞壹,计算机硬件,本科,3-5年,8-9K,Java|服务器端开发|Web端|Scala|Kotlin,后端开发
上海·徐汇区·音乐学院,甲林新能源,新能源,本科,5-10年,11-12K,架构师|服务器配置|SVN|JavaScript|Java|HTML|CSS|游戏引擎,后端开发
武汉·洪山区·光谷东,小米科技,互联网,本科,3-5年,20-26K·16薪,Java|Spring|MySQL|Redis|微服务经验|大数据经验,-后端研发
武汉·洪山区·光谷东,微众银行,互联网金融,本科,3-5年,15-30K·16薪,不接受居家办公|Java|Spring|MyBatis|JVM|MySQL|Redis|Hive|架构设计经验|分布式经验|大数据经验,后端开发
辽阳,黑虎科技,互联网,本科,1-3年,7-12K,Java开发经验|全栈工程师|Java|MySQL|Spring,java后端
青岛·黄岛区·石油大学,青岛海卓同创,计算机软件,本科,3-5年,9-13K,后端工程师|全栈工程师|架构师|Java|Spring|MySQL|Java开发经验|分布式系统开发经验|中大型项目架构设计经验|不接受居家办公,gis后端
上海·长宁区·新华路,信飞科技,互联网金融,本科,5-10年,30-60K·15薪,Java|Spring|Kafka|MySQL|Redis|MongoDB,后端开发
岳阳,岳阳什一冷链物流,电子商务,初中及以下,1-3年,6-7K,Java开发经验|全栈工程师|Java|分布式系统开发经验|MyBatis|Python,web后端
江门·蓬江区·白石,南扬猫网络科技,计算机软件,本科,1年以内,5-10K,后端开发|C/C++|游戏开发,后端开发
上海·杨浦区·五角场,随训通电子,互联网,本科,经验不限,25-50K·15薪,计算机相关专业|后端开发经验,后端开发
西安·雁塔区·绿地世纪城,酷渲科技,移动互联网,本科,5-10年,13-23K,微服务架构|Spring|MySQL|全栈开发|高级软件工程师|SaaS,后端开发
杭州·滨江区·长河,华为,计算机软件,本科,经验不限,15-30K·15薪,Java|C/C++|Python,后端开发
深圳·福田区·车公庙,潮盟科技,批发/零售,本科,3-5年,15-20K,Java|计算机/软件工程相关经验|Java开发经验,后端开发
亳州·谯城区·亳州学院,拇指跳跃,企业服务,本科,3-5年,5-6K,Java,java后端
武汉·洪山区·光谷,腾讯,互联网,本科,3-5年,20-40K·16薪,Golang|计算机相关专业|后端开发经验,后端开发
贵阳·云岩区·二桥,政岿网络科技,互联网,大专,3-5年,6-10K,消息队列|Redis|NoSQL|MongoDB|MySQL,后端开发
