位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·宝安区·宝安中心区,立新出行,汽车后市场,本科,经验不限,11-20K,Go|分布式技术|Redis|NoSQL|MongoDB|架构师,Python
宁波·海曙区·南门,文正科技,计算机服务,本科,1-3年,8-9K,Python|机器学习,Python
北京·大兴区·黄村,春风网络,电子商务,本科,3-5年,10-14K,Python|C语言|网络爬虫技术|PHP|汇编语言|后端开发,python
南宁·青秀区·民族大道,锦里云,电子商务,大专,1-3年,6-10K,Python|PyTorch|MySQL|爬虫经验|运维开发经验,Python
济南·历下区·高新会展中心,山东绿创智慧科技,计算机软件,本科,1-3年,8-13K,Python|Oracle|MySQL|爬虫经验|数据采集,Python
上海·浦东新区·金桥,华为,计算机软件,本科,经验不限,15-30K,,Python
苏州·姑苏区·友新,一季一花咨询,互联网,本科,1年以内,5-10K·13薪,爬虫经验|Django|MySQL|接受无前端经验/技能|金融基础知识|执行交易下单|量化交易开发经验|Python,Python
深圳·福田区·新洲,中软国际,计算机软件,本科,3-5年,10-15K·13薪,Python|Docker|MongoDB|MySQL|Redis|Linux开发/部署经验|python项目经验,python
西安·雁塔区·高新软件园,西安华为云计算公司,计算机软件,本科,经验不限,12-20K,后端|运维开发|Python|C/C++|Shell,Python
南宁·西乡塘区·高新区,广西桂科院新能源科技,计算机硬件,本科,1-3年,6-9K,Python|C++|PyTorch|Numpy|MySQL,Python
上海·普陀区·曹杨,上海百寻图应科技,企业服务,本科,5-10年,25-50K·13薪,Python|Java|架构设计经验,Python
银川·兴庆区·在水一方,丞希农业,进出口贸易,大专,3-5年,3-4K,运维开发,Python
广州·天河区·天河公园,稷生科技,计算机服务,本科,在校/应届,3-4K,Python|Scrapy,python爬虫（24届实习生）
重庆·渝北区·人和,无破数据,计算机软件,大专,3-5年,10-15K,爬虫|Python|计算机相关专业|数学/统计相关专业|爬虫经验,Python爬虫工程师
石家庄·裕华区·谈固,中数智创,互联网,大专,3-5年,10-15K,爬虫|后端|Python|Scrapy|爬虫经验,高级爬虫python工程师
珠海·香洲区·横琴,智图数研,计算机软件,大专,1-3年,4-8K,Python,Python爬虫开发工程师
上海·嘉定区·南翔,格林酒店集团,生活服务（O2O）,本科,3-5年,15-25K,爬虫,python
曲靖,风之野,大数据,本科,1-3年,4-6K,爬虫|数据开发|Python|计算机相关专业|服务端开发经验|爬虫经验|python,Python
郑州·中牟县·刘集镇,北京打造前程,学校/学历教育,本科,1-3年,8-10K,Java|爬虫|Docker|Django|MySQL|讲师|计算机相关专业|Flask|Python,python
上海·闵行区·吴泾,微软,互联网,硕士,3-5年,30-60K,软件工程师,Python
石家庄·新华区·新华路,栩磁河北科技有限公司,大数据,2个月,4天/周,100-110元/天,Python|Django,Python
运城·闻喜县·海天时代广场,闻喜奇点创客家科技,培训/辅导机构,大专,1年以内,3-7K,Java,Python
北京·东城区·朝阳门,ModeSens,电子商务,本科,1-3年,15-30K·13薪,服务器配置|分布式技术|消息队列|数据结构|Django|中级软件工程师|Flask|Redis,Python
呼和浩特·回民区·海亮,诺通极致,培训/辅导机构,本科,1-3年,3-8K,架构师|Flask|Django|Tornado|移动端|爬虫工程师|Python|MongoDB,Python
潍坊,华远科技,仪器仪表/工业自动化,本科,3-5年,6-11K,架构师|Linux|Windows|MySQL|SQL Server|Django|Flask|Tornado,Python
太原·小店区·平阳,清晋智慧,互联网,本科,1-3年,6-10K·14薪,Python|计算机相关专业|爬虫经验,Python
武汉·洪山区·白沙洲,富邦达,互联网,本科,1-3年,6-7K,爬虫|数据开发|机器学习/算法工程|计算机相关专业|Python,Python
贵阳·观山湖区·世纪金源,贵州澜庭轩酒店管理,移动互联网,学历不限,1-3年,8-12K,后端|爬虫|数据开发|Python|Java|C/C++,Python
嘉兴·桐乡市·崇福,浙江万兆,通信/网络设备,学历不限,经验不限,5-10K,爬虫工程师|网络爬虫技术|Python|.NET|MVC开发,Python
上海·长宁区·北新泾,博世中国 / 集团,智能硬件,本科,1-3年,10-12K,Flask|GIT|PostgreSQL|Redis|Linux|微服务架构|MVC开发|容器技术,Python
武汉·洪山区·光谷,腾讯,互联网,本科,3-5年,14-22K·14薪,分布式技术|多线程|网络编程|Linux,Python
运城·永济市·银杏街,科豆创客,培训/辅导机构,大专,经验不限,2-5K,机器学习/算法工程|Python|C/C++,Python
上海,Credit AI,互联网,本科,3-5年,18-20K·15薪,分布式技术|高级软件工程师|GIT|容器技术|算法基础,Python
达州·万源市·福鑫大道,万源图煜软件开发,计算机软件,本科,3-5年,8-11K,,Python
成都·武侯区·桂溪,纬图（VERTU）,通信/网络设备,本科,3-5年,15-25K,Python|PyTorch|TensorFlow|MySQL|机器学习经验|CV|NLP|ai,python
北京·朝阳区·奥运村,北京雷石,互联网,学历不限,3-5年,15-30K·14薪,Python|Go|MySQL|Redis|Tornado|Flask|后端开发|网络爬虫技术,Python
济南·历城区·经十东路,泉云智慧,计算机软件,本科,3-5年,8-13K·14薪,Python|MySQL|GIT|Linux|微服务架构,Python
青岛·黄岛区·珠山,中导辰远,计算机软件,本科,5-10年,12-24K·14薪,Python|PHP|Flask|MySQL|Redis|架构设计经验|分布式经验|机器学习经验,Python
汕尾·海丰县·城东,雅宝教育,培训/辅导机构,学历不限,经验不限,5-8K,Python|Nginx|MySQL,python
西安·雁塔区·绿地世纪城,中国移动研究院,大数据,硕士,3-5年,16-17K,后端|机器学习/算法工程|Python|TensorFlow|PyTorch|机器学习工程经验,Python
海口·秀英区·西海岸,博佳佳智科技,培训/辅导机构,大专,经验不限,5-10K,Java|乐高搭建，编程,Python
