位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
福州·台江区·祥坂路,极颜,广告/公关/会展,本科,1年以内,10-15K,搜索引擎优化|信息流推广优化经验|广告文案与素材制作或优化|擅长数据分析,信息流广告投放专员
深圳·南山区·南油,非凡传媒,移动互联网,学历不限,经验不限,5-6K,短视频|网剧|电视剧|Premiere|Final Cut Pro|特效|剪辑|音乐,信息流剪辑师
连云港·海州区·苍梧路,我武生物公司,其他行业,大专,在校/应届,5-8K,专科特药|处方药销售,医药信息沟通专员
北京·通州区·永顺,北京即刻起量文化传媒,广告/公关/会展,大专,1-3年,5-8K,短视频,信息流剪辑师
江门,辉胜达,汽车经销商,学历不限,经验不限,4-6K,企业服务|汽车|电子商务|数据分析能力,汽车销售信息员
潍坊·寒亭区·寒亭中心城区,泰盈科技集团,电子商务,大专,经验不限,5-8K,五险一金|办公室|文员|长白,信息文员 长白班
北京·通州区·果园,民众普康,广告/公关/会展,高中,1-3年,20-40K,互联网广告代理商|头条系|商务谈判能力|腾讯广告|线上广告销售经验|广告相关学历|互联网（媒介）|线上/互联网广告|快手系,信息流广告销售总监
呼和浩特·新城区·迎新路,内蒙易创智行,新能源,本科,5-10年,15-20K,中后台产品|用户/功能产品|数据产品|ERP产品/软件产品,企业信息化产品经理
上海·普陀区·真如,哲喆科技,运营商/增值服务,本科,1-3年,10-15K·13薪,运营商业务投放|巨量广点通|数据分析能力,信息流投放优化师
广州·天河区·珠江新城,大川文化,广告/公关/会展,大专,1-3年,10-15K,百度广告|腾讯系|SEO/SEM经验（有案例）|信息流推广优化经验|市场营销/广告学相关专业|计算机相关专业|熟悉HTML|新媒体平台广告投放|加粉|表单|乙方,百度信息流优化师
娄底·娄星区·新市政府,中途,计算机软件,大专,1-3年,5-7K,售前/售后技术支持,信息化系统维护工程师
保定,法本,计算机软件,学历不限,经验不限,80-100元/天,兼职|坐班,暑假兼职/信息校对/100-120/天
徐州·云龙区·新城区,领易帮信息公司,电子商务,学历不限,经验不限,2-3K,信息截流员,信息流推广专员
北京·西城区·德胜门,科瑞德制药,医疗健康,大专,1-3年,15-20K,处方药销售|普药,医药信息沟通专员
