位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·岳麓区·涉外经济学院,壹贰叁肆,互联网,大专,经验不限,3-5K,西语国家工作经历|坐班|CATTI 证书|DELE/SIELE B2|西班牙语专业|专四证书|西语国家留学经历|全职,西班牙语助理
长沙·岳麓区·麓谷,言趣教育,在线教育,大专,经验不限,4-6K,全职|坐班,西班牙语讲师
长沙·岳麓区·麓谷,恰学教育科技有限公司,培训/辅导机构,本科,1-3年,6-11K,全职|DELE/SIELE C1|西班牙语专业|西语国家留学经历,西班牙语老师
长沙·芙蓉区·五一广场,新航道国际教育集团,培训/辅导机构,硕士,1-3年,4-7K,兼职|无需坐班,西班牙语翻译
长沙·芙蓉区·五一广场,湖南译语信息技术...,翻译,本科,3-5年,8-12K,笔译,西班牙语兼职翻译
长沙,熠晟,进出口贸易,大专,经验不限,4-9K,西班牙语,西班牙语外贸专员
长沙·望城区·雷锋镇,湖南中联重科智能...,电气机械/器材,本科,经验不限,7-12K,单据制作/审查|报关对接|清关办理,单证专员（西班牙语）
长沙·岳麓区·望城坡,申德钢铁,进出口贸易,大专,经验不限,5-10K,拉美市场|小语种|有海外销售经验,西班牙语外贸业务员
长沙,米丘国贸,进出口贸易,大专,经验不限,6-10K,坐班|商务谈判|国际贸易|DELE/SIELE B2|DELE/SIELE C1|DELE/SIELE C2|西班牙语专业|西语国家留学经历|西语国家工作经历,西班牙语外贸（单双休）
长沙·芙蓉区·东屯渡,元拓建材集团,进出口贸易,大专,1-3年,5-10K,建筑材料|掌握小语种|每周双休|西班牙语|俄语|葡萄牙语,葡萄牙语外贸
长沙·芙蓉区·火车站,亿千树,电子商务,本科,1年以内,5-10K·13薪,电商店铺运营|Amazon|eBay|速卖通|B2C|数据分析能力|小语种|英语可作为工作语言|德语|法语|西班牙语,亚马逊运营（成人用品类）
长沙·雨花区·红星,鼎心电子设备,进出口贸易,大专,1年以内,5-10K,英语可用于工作|掌握小语种|有外贸工作经验|西班牙语|年终奖|每周双休,外贸业务员
长沙·芙蓉区·火车站,鹏铮科技,进出口贸易,本科,经验不限,4-8K,英语可用于工作|掌握小语种|国际贸易专业|每周双休|年终奖|西班牙语|德语,外贸业务员
长沙·天心区·黄土岭,长沙浩宇工艺品进出口,进出口贸易,本科,1-3年,6-11K,家居用品|食品/日化品|服装饰品|英语可用于工作|有外贸工作经验|掌握小语种|包住宿|每周双休|年终奖|西班牙语,"外贸业务员【B TO B,稳定且高收入】"
长沙·岳麓区·望城坡,深圳市浩文安通,通信/网络设备,本科,在校/应届,4-9K,英语可用于工作|年终奖|每周双休,海外销售（接受应届）
长沙·岳麓区·麓谷,中科云谷科技有限公司,互联网,学历不限,经验不限,10-15K,系统运维|网络运维|运维开发/DevOps,系统运维工程师（海外数字化系统）
长沙·长沙县·汽车东站,远大集团,其他行业,本科,1-3年,10-15K,会展/会议/拜访推广|海外网站账号运营/投放|电子邮件推广|项目管理经验|销售经验|英语可作为工作语言,国际区域经理
长沙·长沙县·泉塘,三一集团,其他行业,本科,5-10年,35-45K·16薪,机械设备,营销管理高级经理
长沙·岳麓区·麓谷,中联重科,通用设备,大专,经验不限,7-12K·13薪,英语可用于工作|有外贸工作经验|包住宿,海外营销代表
